year,country_id_iso_3,country,currency_unit,population,employees,real_gdp_expenditures,real_gdp_output,current_consumption,current_absorption,current_gdp_expenditures,current_gdp_output,current_capital_stock,real_gdp_na,real_consumption_na,real_absorption_na,real_capital_stock_na,average_hours_worked,average_depreciation,current_capital_level,current_tfp_level,current_wtfp_level,real_capital_level_na,real_tfp_level_na,real_wtfp_level_na,price_level_ccon,price_level_cda,price_level_cgdpo,price_level_household,price_level_cf,price_level_gov,price_level_x,price_level_m,price_level_capital_stock,price_level_capital,real_rate_return,exchange_rate,human_capital_index,indicator_cig,indicator_xm,indicator_exchange_rate,indicator_outlier,indicator_real_rate_return,indicator_stat_capacity,corr_exp_share,current_share_household,current_share_gcf,current_share_gov,current_share_x,current_share_m,current_share_residual_trade,current_share_labour_gdp_na
1994,ABW,Aruba,Aruban Guilder,76699.999999999985,34895.97886800766,3537953369.140625,4172824218.75,2015998657.2265625,3393726806.640625,3626417236.328125,4363706054.6875,12078262695.3125,2248299560.546875,2116826660.15625,2891099365.234375,6498933593.75,,0.034092266112565994,0.0001922350493259728,,,0.33666571974754333,,,0.44373804330825806,0.38436967134475708,0.31942680478096008,0.44762197136878967,0.29749724268913269,0.42754936218261719,0.3770783543586731,0.50800418853759766,0.29239246249198914,0.89247643947601318,0.10522321611642838,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.37260010838508606,0.31572431325912476,0.089392192661762238,0.76419162750244141,-0.50145971775054932,-0.040448479354381561,0.64835703372955322
1995,ABW,Aruba,Aruban Guilder,80323.999999999985,36628.015339374542,3412874511.71875,4184156250.0,2034535400.390625,3435050781.25,3464745361.328125,4252333984.375,13159661132.8125,2304658691.40625,2120806640.625,2941311035.15625,7074194824.21875,,0.0339076966047287,0.00020820222562178969,,,0.36900857090950012,,,0.46526241302490234,0.39943274855613708,0.32545250654220581,0.4517243504524231,0.30380165576934814,0.52523535490036011,0.40453290939331055,0.54705071449279785,0.26652985811233521,0.77925068140029907,0.1042659729719162,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.39033806324005127,0.32935217022895813,0.088113412261009216,0.765720546245575,-0.542942225933075,-0.030581891536712646,0.64835703372955322
1996,ABW,Aruba,Aruban Guilder,83200.0,38025.695830583572,3428601074.21875,3977093017.578125,2167170654.296875,3444941162.109375,3449007324.21875,3990846435.546875,14112389648.4375,2333353759.765625,2251378173.828125,3009624267.578125,7574306640.625,,0.034572523087263107,0.00021654843294527382,,,0.3959176242351532,,,0.47891047596931458,0.41924735903739929,0.36232593655586243,0.46236029267311096,0.31805533170700073,0.55890375375747681,0.41901981830596924,0.506942093372345,0.27501788735389709,0.76365953683853149,0.10038852691650391,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.4499441385269165,0.32017534971237183,0.0930912047624588,0.84030085802078247,-0.6691858172416687,-0.034325752407312393,0.63725948333740234
1997,ABW,Aruba,Aruban Guilder,85451.0,39143.040776252747,3718441406.25,4282010253.90625,2264614013.671875,3740265869.140625,3732093261.71875,4193392089.84375,15278196289.0625,2515692138.671875,2368082519.53125,3256978271.484375,8176080566.40625,,0.034710768610239029,0.00022455025464296341,,,0.42708852887153625,,,0.49850288033485413,0.43011286854743958,0.38279783725738525,0.48104774951934814,0.32515797019004822,0.56363868713378906,0.41715776920318604,0.48141723871231079,0.2822955846786499,0.77940362691879272,0.10120543837547302,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.42590835690498352,0.35189932584762573,0.11413513123989105,0.84945297241210938,-0.7238885760307312,-0.017507269978523254,0.63490724563598633
1998,ABW,Aruba,Aruban Guilder,87277.0,40069.926530122757,3992376708.984375,4660577148.4375,2367511962.890625,4025802001.953125,3986949462.890625,4807512695.3125,16680453125.0,2683403808.59375,2476237792.96875,3488423828.125,8871182617.1875,,0.034693419933319092,0.00023222345043905079,,,0.46364447474479675,,,0.51355260610580444,0.43771231174468994,0.36300200223922729,0.4957156777381897,0.32943636178970337,0.586388111114502,0.3765052855014801,0.47237533330917358,0.2730332612991333,0.79572767019271851,0.10394483804702759,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.39558467268943787,0.34493723511695862,0.096876189112663269,0.86121147871017456,-0.67833197116851807,-0.020277529954910278,0.63823181390762329
1999,ABW,Aruba,Aruban Guilder,89005.0,40955.502539873123,4032622314.453125,4854150878.90625,2451807373.046875,4110921386.71875,4036630859.375,5244009765.625,17997326171.875,2714382812.5,2553813232.421875,3562423095.703125,9543473632.8125,,0.03426939994096756,0.00023881325614638627,,,0.49611160159111023,,,0.52535933256149292,0.44723528623580933,0.34426397085189819,0.50813585519790649,0.33178502321243286,0.59800165891647339,0.35466724634170532,0.486177533864975,0.28796505928039551,0.72361838817596436,0.086199954152107239,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.37793582677841187,0.31638267636299133,0.0896085724234581,0.87043732404708862,-0.63262021541595459,-0.021744102239608765,0.65521061420440674
2000,ABW,Aruba,Aruban Guilder,90852.999999999985,41900.001466274261,4031134277.34375,4129512695.3125,2438687011.71875,3793475097.65625,4059292236.328125,4519512695.3125,18856412109.375,2836911865.234375,2547805664.0625,3340657226.5625,10001375976.5625,,0.033858329057693481,0.00023673672694712877,,,0.52087777853012085,,,0.54963970184326172,0.48362961411476135,0.43438178300857544,0.544147789478302,0.36480814218521118,0.56962060928344727,0.42176854610443115,0.47950416803359985,0.32233968377113342,0.7909584641456604,0.080654218792915344,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.42325586080551147,0.29976418614387512,0.11633487045764923,0.85929399728775024,-0.67589330673217773,-0.022755645215511322,0.64510613679885864
2001,ABW,Aruba,Aruban Guilder,92898.0,42807.657271623611,4122958496.09375,4728453125.0,2538510986.328125,3939204589.84375,4174905273.4375,4979928222.65625,19783585937.5,2826565673.828125,2645582519.53125,3455070068.359375,10458633789.0625,,0.033865399658679962,0.00023978244280442595,,,0.54609006643295288,,,0.56240671873092651,0.48198691010475159,0.40407201647758484,0.548881471157074,0.33624011278152466,0.60827815532684326,0.37771433591842651,0.46691152453422546,0.29976168274879456,0.782539427280426,0.0863327831029892,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.39367362856864929,0.28126782178878784,0.11607484519481659,0.84578812122344971,-0.6260225772857666,-0.010781840421259403,0.64510613679885864
2002,ABW,Aruba,Aruban Guilder,94992.0,43736.308813095093,4101703125.0,3555261230.46875,2604543701.171875,4212508300.78125,4181356933.59375,3924565185.546875,20915601562.5,2765385742.1875,2711186523.4375,3629174072.265625,10997979492.1875,,0.034088045358657837,0.000254265934927389,,,0.57785242795944214,,,0.57922428846359253,0.48646318912506104,0.51829344034194946,0.56864750385284424,0.33621090650558472,0.61514580249786377,0.5037044882774353,0.4632638692855835,0.30422559380531311,0.70089191198349,0.078907154500484467,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.51269286870956421,0.40971791744232178,0.15095862746238708,0.74942457675933838,-0.81953924894332886,-0.0032547144219279289,0.64510613679885864
2003,ABW,Aruba,Aruban Guilder,97016.999999999985,44631.622731685638,4209140136.71875,3701983642.578125,2707093017.578125,4471079589.84375,4289712402.34375,4053201660.15625,22329816406.25,2778252685.546875,2799660644.53125,3820676025.390625,11609083984.375,,0.034403994679450989,0.0002696493174880743,,,0.61282873153686523,,,0.58984607458114624,0.49376961588859558,0.52258187532424927,0.59151893854141235,0.34632629156112671,0.58442205190658569,0.53245061635971069,0.49124950170516968,0.30312231183052063,0.64269566535949707,0.0763591080904007,1.79,,Extrapolated,Benchmark,Market-based,Regular,Regular,,,0.51045620441436768,0.43520817160606384,0.15743382275104523,0.69470465183258057,-0.79556232690811157,-0.0022404920309782028,0.64510613679885864
